Row_1,BoardsBeforeCutBill,BoardsAfterCutBill,BoardsInCutBill,MandatoryCuts,CutsMadebyCutBill,CutsPerBoard,Yield,MeanNestingRate,MaxNestingRate,TimesAbove60,LaneFlushes
"[10.75,26.5]_[26.82,31]_[30,39]_[38,45]_[46,60]",223035,172988,164184,248774,4402,2.53176,0.911050278,0.073429314,0.293647128,0,0
"[10.75,26.7]_[26.62,31.2]_[29.8,39.2]_[37.8,45.2]_[45.8,60]",223035,170471,166701,248774,1885,2.50659,0.911402875,0.101949483,0.365966663,0,0
"[10.75,26.9]_[26.42,31.4]_[29.6,39.4]_[37.6,45.4]_[45.6,60]",223035,169233,167939,248774,647,2.49421,0.911576301,0.292194957,0.771242387,209,2
"[10.75,27.1]_[26.22,31.6]_[29.4,39.6]_[37.4,45.6]_[45.4,60]",223035,168586,168586,248774,0,2.48774,0.911666937,0.37060687,0.792644413,1163,6
"[10.75,27.3]_[26.02,31.8]_[29.2,39.8]_[37.2,45.8]_[45.2,60]",223035,168586,168586,248774,0,2.48774,0.911666937,0.372165484,0.798943914,1180,6
"[10.75,27.5]_[25.82,32]_[29,40]_[37,46]_[45,60]",223035,168586,168586,248774,0,2.48774,0.911666937,0.372165484,0.798943914,1180,6
"[10.75,25]_[47,60]",223035,245443,91729,248774,76857,3.25631,0.900900331,0.023437532,0.142578491,0,0
"[10.75,25.2]_[46.8,60]",223035,244070,93102,248774,75484,3.24258,0.90109267,0.023787255,0.159931746,0,0
"[10.75,25.4]_[46.6,60]",223035,242690,94482,248774,74104,3.22878,0.901285989,0.024231018,0.138479155,0,0
"[10.75,25.6]_[46.4,60]",223035,241279,95893,248774,72693,3.21467,0.90148365,0.025022508,0.135777218,0,0
"[10.75,25.8]_[46.2,60]",223035,239839,97333,248774,71253,3.20027,0.901685375,0.025218112,0.144994835,0,0
"[10.75,26]_[46,60]",223035,238414,98758,248774,69828,3.18602,0.901884997,0.025470439,0.129394655,0,0
"[10.75,26.2]_[45.8,60]",223035,236980,100192,248774,68394,3.17168,0.902085881,0.025806602,0.14731803,0,0
"[10.75,26.4]_[45.6,60]",223035,235596,101576,248774,67010,3.15784,0.90227976,0.026082476,0.126405867,0,0
"[10.75,26.6]_[45.4,60]",223035,234130,103042,248774,65544,3.14318,0.902485127,0.026896046,0.128612441,0,0
"[10.75,26.8]_[45.2,60]",223035,232698,104474,248774,64112,3.12886,0.90268573,0.027555423,0.128665902,0,0
"[10.75,27]_[45,60]",223035,231303,105869,248774,62717,3.11491,0.90288115,0.028418685,0.145634261,0,0
"[10.75,24] [24,26] [26,28] [28,30] [30,32] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,188896,148276,248774,20310,2.69084,0.908821786,0.04473433,0.187250276,0,0
"[10.75,24] [32,34] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,212338,124834,248774,43752,2.92526,0.905537885,0.02951433,0.123195524,0,0
"[10.75,24] [24,26] [32,34] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,204474,132698,248774,35888,2.84662,0.906639523,0.030931508,0.134927782,0,0
"[10.75,24] [26,28] [32,34] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,204585,132587,248774,35999,2.84773,0.906623974,0.032141577,0.13676876,0,0
"[10.75,24] [24,26] [26,28] [32,34] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,196721,140451,248774,28135,2.76909,0.907725612,0.036490929,0.150253319,0,0
"[10.75,24] [28,30] [32,34] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,204779,132393,248774,36193,2.84967,0.906596797,0.033956807,0.152817512,0,0
"[10.75,24] [24,26] [28,30] [32,34] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,196915,140257,248774,28329,2.77103,0.907698435,0.035438568,0.138771262,0,0
"[10.75,24] [26,28] [28,30] [32,34] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,197026,140146,248774,28440,2.77214,0.907682885,0.036035297,0.157378278,0,0
"[10.75,24] [24,26] [26,28] [28,30] [32,34] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,189162,148010,248774,20576,2.6935,0.908784523,0.042673074,0.156453753,0,0
"[10.75,24] [30,32] [32,34] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,204842,132330,248774,36256,2.8503,0.906587972,0.042518593,0.205132822,0,0
"[10.75,24] [24,26] [30,32] [32,34] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,196978,140194,248774,28392,2.77166,0.90768961,0.035794348,0.159617278,0,0
"[10.75,24] [26,28] [30,32] [32,34] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,197089,140083,248774,28503,2.77277,0.90767406,0.037314902,0.152233474,0,0
"[10.75,24] [24,26] [26,28] [30,32] [32,34] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,189225,147947,248774,20639,2.69413,0.908775698,0.040708364,0.177065991,0,0
"[10.75,24] [28,30] [30,32] [32,34] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,197283,139889,248774,28697,2.77471,0.907646883,0.039773736,0.191940676,0,0
"[10.75,24] [24,26] [28,30] [30,32] [32,34] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,189419,147753,248774,20833,2.69607,0.908748521,0.040917256,0.168514872,0,0
"[10.75,24] [26,28] [28,30] [30,32] [32,34] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,189530,147642,248774,20944,2.69718,0.908732972,0.042934411,0.152344274,0,0
"[10.75,24] [24,26] [26,28] [28,30] [30,32] [32,34] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,181666,155506,248774,13080,2.61854,0.90983461,0.050159122,0.179799982,0,0
"[10.75,24] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,212619,124553,248774,44033,2.92807,0.905498521,0.028040972,0.1302929,0,0
"[10.75,24] [24,26] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,204755,132417,248774,36169,2.84943,0.906600159,0.030289579,0.130984669,0,0
"[10.75,24] [26,28] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,204866,132306,248774,36280,2.85054,0.90658461,0.037407886,0.144947405,0,0
"[10.75,24] [24,26] [26,28] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,197002,140170,248774,28416,2.7719,0.907686247,0.042115988,0.203256306,0,0
"[10.75,24] [28,30] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,205060,132112,248774,36474,2.85248,0.906557433,0.032201854,0.148909846,0,0
"[10.75,24] [24,26] [28,30] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,197196,139976,248774,28610,2.77384,0.907659071,0.035612703,0.139198744,0,0
"[10.75,24] [26,28] [28,30] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,197307,139865,248774,28721,2.77495,0.907643521,0.036747771,0.158126688,0,0
"[10.75,24] [24,26] [26,28] [28,30] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,189443,147729,248774,20857,2.69631,0.908745159,0.043402456,0.164422947,0,0
"[10.75,24] [30,32] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,205123,132049,248774,36537,2.85311,0.906548607,0.047203965,0.181443821,0,0
"[10.75,24] [24,26] [30,32] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,197259,139913,248774,28673,2.77447,0.907650245,0.03619878,0.147527721,0,0
"[10.75,24] [26,28] [30,32] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,197370,139802,248774,28784,2.77558,0.907634696,0.038082889,0.161106734,0,0
"[10.75,24] [24,26] [26,28] [30,32] [34,36] [36,38] [38,40] [40,42] [42,44] [44,46] [48,60]",223035,189506,147666,248774,20920,2.69694,0.908736334,0.041003841,0.19017717,0,0
